Pas_ID;Pas_Result;Pas_Description;Pas_Type;Pas_Meat;Pas_Sauce;Pas_Topping
PAS1;Creamy Beef Pasta;If this delicious meal doesn't make you full, nothing will.;Spaghetti;Beef;White Cream;Herbs
PAS2;Creamy Beef Pasta;If this delicious meal doesn't make you full, nothing will.;Spaghetti;Beef;White Cream;Pepper
PAS3;Creamy Beef Pasta;If this delicious meal doesn't make you full, nothing will.;Spaghetti;Beef;White Cream;Garlic
PAS4;Creamy Beef Pasta;If this delicious meal doesn't make you full, nothing will.;Spaghetti;Beef;White Cream;None
PAS5;Spaghetti Bolognese;The staple in every pasta menu.;Spaghetti;Beef;Tomato;Herbs
PAS6;Spaghetti Bolognese;The staple in every pasta menu.;Spaghetti;Beef;Tomato;Pepper
PAS7;Spaghetti Bolognese;The staple in every pasta menu.;Spaghetti;Beef;Tomato;Garlic
PAS8;Spaghetti Bolognese;The staple in every pasta menu.;Spaghetti;Beef;Tomato;None
PAS9;Pesto Spaghetti with Beef Meatball;When Ikea wants to go boujee.;Spaghetti;Beef;Pesto;Herbs
PAS10;Pesto Spaghetti with Beef Meatball;When Ikea wants to go boujee.;Spaghetti;Beef;Pesto;Pepper
PAS11;Pesto Spaghetti with Beef Meatball;When Ikea wants to go boujee.;Spaghetti;Beef;Pesto;Garlic
PAS12;Pesto Spaghetti with Beef Meatball;When Ikea wants to go boujee.;Spaghetti;Beef;Pesto;None
PAS13;Ground Beef Spaghetti;It's the dish that your mom manages to cook from an empty fridge.;Spaghetti;Beef;None;Herbs
PAS14;Ground Beef Spaghetti;It's the dish that your mom manages to cook from an empty fridge.;Spaghetti;Beef;None;Pepper
PAS15;Ground Beef Spaghetti;It's the dish that your mom manages to cook from an empty fridge.;Spaghetti;Beef;None;Garlic
PAS16;Ground Beef Spaghetti;It's the dish that your mom manages to cook from an empty fridge.;Spaghetti;Beef;None;None
PAS17;Creamy Chicken Pasta;It’s a carb galore!;Spaghetti;Chicken;White Cream;Herbs
PAS18;Creamy Chicken Pasta;It’s a carb galore!;Spaghetti;Chicken;White Cream;Pepper
PAS19;Creamy Chicken Pasta;It’s a carb galore!;Spaghetti;Chicken;White Cream;Garlic
PAS20;Creamy Chicken Pasta;It’s a carb galore!;Spaghetti;Chicken;White Cream;None
PAS21;Chicken Spaghetti Bolognese;When you are soooo over the beef bolognese taking over the world.;Spaghetti;Chicken;Tomato;Herbs
PAS22;Chicken Spaghetti Bolognese;When you are soooo over the beef bolognese taking over the world.;Spaghetti;Chicken;Tomato;Pepper
PAS23;Chicken Spaghetti Bolognese;When you are soooo over the beef bolognese taking over the world.;Spaghetti;Chicken;Tomato;Garlic
PAS24;Chicken Spaghetti Bolognese;When you are soooo over the beef bolognese taking over the world.;Spaghetti;Chicken;Tomato;None
PAS25;Basil Pesto Chicken Spaghetti;Chicken really goes well with oil-based sauces like pesto.;Spaghetti;Chicken;Pesto;Herbs
PAS26;Basil Pesto Chicken Spaghetti;Chicken really goes well with oil-based sauces like pesto.;Spaghetti;Chicken;Pesto;Pepper
PAS27;Basil Pesto Chicken Spaghetti;Chicken really goes well with oil-based sauces like pesto.;Spaghetti;Chicken;Pesto;Garlic
PAS28;Basil Pesto Chicken Spaghetti;Chicken really goes well with oil-based sauces like pesto.;Spaghetti;Chicken;Pesto;None
PAS29;Chicken Garlic Butter Pasta;Think of the children!;Spaghetti;Chicken;None;Herbs
PAS30;Chicken Garlic Butter Pasta;Think of the children!;Spaghetti;Chicken;None;Pepper
PAS31;Chicken Garlic Butter Pasta;Think of the children!;Spaghetti;Chicken;None;Garlic
PAS32;Chicken Garlic Butter Pasta;Think of the children!;Spaghetti;Chicken;None;None
PAS33;Creamy Seafood Pasta;The perfect dinner meal!;Spaghetti;Seafood;White Cream;Herbs
PAS34;Creamy Seafood Pasta;The perfect dinner meal!;Spaghetti;Seafood;White Cream;Pepper
PAS35;Creamy Seafood Pasta;The perfect dinner meal!;Spaghetti;Seafood;White Cream;Garlic
PAS36;Creamy Seafood Pasta;The perfect dinner meal!;Spaghetti;Seafood;White Cream;None
PAS37;Seafood Pasta;It's the instagram pasta! Quick honey, get the camera!;Spaghetti;Seafood;Tomato;Herbs
PAS38;Seafood Pasta;It's the instagram pasta! Quick honey, get the camera!;Spaghetti;Seafood;Tomato;Pepper
PAS39;Seafood Pasta;It's the instagram pasta! Quick honey, get the camera!;Spaghetti;Seafood;Tomato;Garlic
PAS40;Seafood Pasta;It's the instagram pasta! Quick honey, get the camera!;Spaghetti;Seafood;Tomato;None
PAS41;Seafood Pesto Pasta;The best pasta for wine. Can I have some seafood pesto pasta with my Sauvignon Blanc?;Spaghetti;Seafood;Pesto;Herbs
PAS42;Seafood Pesto Pasta;The best pasta for wine. Can I have some seafood pesto pasta with my Sauvignon Blanc?;Spaghetti;Seafood;Pesto;Pepper
PAS43;Seafood Pesto Pasta;The best pasta for wine. Can I have some seafood pesto pasta with my Sauvignon Blanc?;Spaghetti;Seafood;Pesto;Garlic
PAS44;Seafood Pesto Pasta;The best pasta for wine. Can I have some seafood pesto pasta with my Sauvignon Blanc?;Spaghetti;Seafood;Pesto;None
PAS45;Garlic Seafood Pasta;It’s a pasta that warms your soul.;Spaghetti;Seafood;None;Herbs
PAS46;Garlic Seafood Pasta;It’s a pasta that warms your soul.;Spaghetti;Seafood;None;Pepper
PAS47;Garlic Seafood Pasta;It’s a pasta that warms your soul.;Spaghetti;Seafood;None;Garlic
PAS48;Garlic Seafood Pasta;It’s a pasta that warms your soul.;Spaghetti;Seafood;None;None
PAS49;Creamy Mushroom Pasta;Another classic restaurant pasta.;Spaghetti;None;White Cream;Herbs
PAS50;Creamy Mushroom Pasta;Another classic restaurant pasta.;Spaghetti;None;White Cream;Pepper
PAS51;Creamy Mushroom Pasta;Another classic restaurant pasta.;Spaghetti;None;White Cream;Garlic
PAS52;Creamy Mushroom Pasta;Another classic restaurant pasta.;Spaghetti;None;White Cream;None
PAS53;Tomato Spaghetti;One of the best vegan spaghetti options out there.;Spaghetti;None;Tomato;Herbs
PAS54;Tomato Spaghetti;One of the best vegan spaghetti options out there.;Spaghetti;None;Tomato;Pepper
PAS55;Tomato Spaghetti;One of the best vegan spaghetti options out there.;Spaghetti;None;Tomato;Garlic
PAS56;Tomato Spaghetti;One of the best vegan spaghetti options out there.;Spaghetti;None;Tomato;None
PAS57;Pesto Pasta;For some reasons pesto pasta is quite an acquired taste without meat.;Spaghetti;None;Pesto;Herbs
PAS58;Pesto Pasta;For some reasons pesto pasta is quite an acquired taste without meat.;Spaghetti;None;Pesto;Pepper
PAS59;Pesto Pasta;For some reasons pesto pasta is quite an acquired taste without meat.;Spaghetti;None;Pesto;Garlic
PAS60;Pesto Pasta;For some reasons pesto pasta is quite an acquired taste without meat.;Spaghetti;None;Pesto;None
PAS61;Spaghetti Aglio e Olio;Garlicky and spicy, yet its like the middle child of pasta.;Spaghetti;None;None;Herbs
PAS62;Spaghetti Aglio e Olio;Garlicky and spicy, yet its like the middle child of pasta.;Spaghetti;None;None;Pepper
PAS63;Spaghetti Aglio e Olio;Garlicky and spicy, yet its like the middle child of pasta.;Spaghetti;None;None;Garlic
PAS64;Spaghetti Aglio e Olio;Garlicky and spicy, yet its like the middle child of pasta.;Spaghetti;None;None;None
PAS65;Creamy Beef Fusilli Pasta;Fusilli really coats all the sauce and makes it taste creamier.;Fusilli;Beef;White Cream;Herbs
PAS66;Creamy Beef Fusilli Pasta;Fusilli really coats all the sauce and makes it taste creamier.;Fusilli;Beef;White Cream;Pepper
PAS67;Creamy Beef Fusilli Pasta;Fusilli really coats all the sauce and makes it taste creamier.;Fusilli;Beef;White Cream;Garlic
PAS68;Creamy Beef Fusilli Pasta;Fusilli really coats all the sauce and makes it taste creamier.;Fusilli;Beef;White Cream;None
PAS69;Fusilli Bolognese;I don't know… I prefer spaghetti with my bolognese.;Fusilli;Beef;Tomato;Herbs
PAS70;Fusilli Bolognese;I don't know… I prefer spaghetti with my bolognese.;Fusilli;Beef;Tomato;Pepper
PAS71;Fusilli Bolognese;I don't know… I prefer spaghetti with my bolognese.;Fusilli;Beef;Tomato;Garlic
PAS72;Fusilli Bolognese;I don't know… I prefer spaghetti with my bolognese.;Fusilli;Beef;Tomato;None
PAS73;Pesto Fusilli with Beef;The fantastic comfort food.;Fusilli;Beef;Pesto;Herbs
PAS74;Pesto Fusilli with Beef;The fantastic comfort food.;Fusilli;Beef;Pesto;Pepper
PAS75;Pesto Fusilli with Beef;The fantastic comfort food.;Fusilli;Beef;Pesto;Garlic
PAS76;Pesto Fusilli with Beef;The fantastic comfort food.;Fusilli;Beef;Pesto;None
PAS77;Cheesy Ground beef Fusilli;It's a pasta that has drastic marginal utility. First bite? Delicious! Second bite? I'm full.;Fusilli;Beef;None;Herbs
PAS78;Cheesy Ground beef Fusilli;It's a pasta that has drastic marginal utility. First bite? Delicious! Second bite? I'm full.;Fusilli;Beef;None;Pepper
PAS79;Cheesy Ground beef Fusilli;It's a pasta that has drastic marginal utility. First bite? Delicious! Second bite? I'm full.;Fusilli;Beef;None;Garlic
PAS80;Cheesy Ground beef Fusilli;It's a pasta that has drastic marginal utility. First bite? Delicious! Second bite? I'm full.;Fusilli;Beef;None;None
PAS81;Creamy chicken Fusilli;Stop trying to make creamy chicken fusilli healthy by adding veggie! It will never work out.;Fusilli;Chicken;White Cream;Herbs
PAS82;Creamy chicken Fusilli;Stop trying to make creamy chicken fusilli healthy by adding veggie! It will never work out.;Fusilli;Chicken;White Cream;Pepper
PAS83;Creamy chicken Fusilli;Stop trying to make creamy chicken fusilli healthy by adding veggie! It will never work out.;Fusilli;Chicken;White Cream;Garlic
PAS84;Creamy chicken Fusilli;Stop trying to make creamy chicken fusilli healthy by adding veggie! It will never work out.;Fusilli;Chicken;White Cream;None
PAS85;fusilli Chicken Bolognese;When chicken bolognese ain't different enough, it now comes with fusilli.;Fusilli;Chicken;Tomato;Herbs
PAS86;fusilli Chicken Bolognese;When chicken bolognese ain't different enough, it now comes with fusilli.;Fusilli;Chicken;Tomato;Pepper
PAS87;fusilli Chicken Bolognese;When chicken bolognese ain't different enough, it now comes with fusilli.;Fusilli;Chicken;Tomato;Garlic
PAS88;fusilli Chicken Bolognese;When chicken bolognese ain't different enough, it now comes with fusilli.;Fusilli;Chicken;Tomato;None
PAS89;Pesto Fusilli Pasta with Chicken;Pesto chicken with Fusilli? How fun!;Fusilli;Chicken;Pesto;Herbs
PAS90;Pesto Fusilli Pasta with Chicken;Pesto chicken with Fusilli? How fun!;Fusilli;Chicken;Pesto;Pepper
PAS91;Pesto Fusilli Pasta with Chicken;Pesto chicken with Fusilli? How fun!;Fusilli;Chicken;Pesto;Garlic
PAS92;Pesto Fusilli Pasta with Chicken;Pesto chicken with Fusilli? How fun!;Fusilli;Chicken;Pesto;None
PAS93;Cheesy Chicken Fusilli;This is so delicious it's shocking the baby cheese-us out of me!;Fusilli;Chicken;None;Herbs
PAS94;Cheesy Chicken Fusilli;This is so delicious it's shocking the baby cheese-us out of me!;Fusilli;Chicken;None;Pepper
PAS95;Cheesy Chicken Fusilli;This is so delicious it's shocking the baby cheese-us out of me!;Fusilli;Chicken;None;Garlic
PAS96;Cheesy Chicken Fusilli;This is so delicious it's shocking the baby cheese-us out of me!;Fusilli;Chicken;None;None
PAS97;Creamy Seafood Fusilli Pasta;People who hate this are fusilli. Get it? FU-SILLI;Fusilli;Seafood;White Cream;Herbs
PAS98;Creamy Seafood Fusilli Pasta;People who hate this are fusilli. Get it? FU-SILLI;Fusilli;Seafood;White Cream;Pepper
PAS99;Creamy Seafood Fusilli Pasta;People who hate this are fusilli. Get it? FU-SILLI;Fusilli;Seafood;White Cream;Garlic
PAS100;Creamy Seafood Fusilli Pasta;People who hate this are fusilli. Get it? FU-SILLI;Fusilli;Seafood;White Cream;None
PAS101;Seafood Fusilli Pasta;The seafood and tomato sauce are great. Oh yeah, the fusilli too.;Fusilli;Seafood;Tomato;Herbs
PAS102;Seafood Fusilli Pasta;The seafood and tomato sauce are great. Oh yeah, the fusilli too.;Fusilli;Seafood;Tomato;Pepper
PAS103;Seafood Fusilli Pasta;The seafood and tomato sauce are great. Oh yeah, the fusilli too.;Fusilli;Seafood;Tomato;Garlic
PAS104;Seafood Fusilli Pasta;The seafood and tomato sauce are great. Oh yeah, the fusilli too.;Fusilli;Seafood;Tomato;None
PAS105;Fusilli Pasta with Pesto and Shrimp;Feels like a summer pasta.;Fusilli;Seafood;Pesto;Herbs
PAS106;Fusilli Pasta with Pesto and Shrimp;Feels like a summer pasta.;Fusilli;Seafood;Pesto;Pepper
PAS107;Fusilli Pasta with Pesto and Shrimp;Feels like a summer pasta.;Fusilli;Seafood;Pesto;Garlic
PAS108;Fusilli Pasta with Pesto and Shrimp;Feels like a summer pasta.;Fusilli;Seafood;Pesto;None
PAS109;Garlic Seafood Fusilli Pasta;Delicious seafood fusilli, now with garlic!;Fusilli;Seafood;None;Herbs
PAS110;Garlic Seafood Fusilli Pasta;Delicious seafood fusilli, now with garlic!;Fusilli;Seafood;None;Pepper
PAS111;Garlic Seafood Fusilli Pasta;Delicious seafood fusilli, now with garlic!;Fusilli;Seafood;None;Garlic
PAS112;Garlic Seafood Fusilli Pasta;Delicious seafood fusilli, now with garlic!;Fusilli;Seafood;None;None
PAS113;Creamy garlic Fusilli Pasta;Taste better with meat, or even some bacon bits will be great too.;Fusilli;None;White Cream;Herbs
PAS114;Creamy garlic Fusilli Pasta;Taste better with meat, or even some bacon bits will be great too.;Fusilli;None;White Cream;Pepper
PAS115;Creamy garlic Fusilli Pasta;Taste better with meat, or even some bacon bits will be great too.;Fusilli;None;White Cream;Garlic
PAS116;Creamy garlic Fusilli Pasta;Taste better with meat, or even some bacon bits will be great too.;Fusilli;None;White Cream;None
PAS117;Fusilli in Tomato Sauce;The kids happy meal set.;Fusilli;None;Tomato;Herbs
PAS118;Fusilli in Tomato Sauce;The kids happy meal set.;Fusilli;None;Tomato;Pepper
PAS119;Fusilli in Tomato Sauce;The kids happy meal set.;Fusilli;None;Tomato;Garlic
PAS120;Fusilli in Tomato Sauce;The kids happy meal set.;Fusilli;None;Tomato;None
PAS121;Spicy Pesto Fusilli Pasta;With some mushrooms, this will be divine!;Fusilli;None;Pesto;Herbs
PAS122;Spicy Pesto Fusilli Pasta;With some mushrooms, this will be divine!;Fusilli;None;Pesto;Pepper
