Ste_ID;Ste_Result;Ste_Description;Ste_Rarity;Ste_Wine;Ste_Sauce;Ste_Hated
STE1;Skirt Steak;This thin, quick-cooking cut is every steak lover's dream.;Rare;Cabernet;Peppercorn;Fries
STE2;Skirt Steak;This thin, quick-cooking cut is every steak lover's dream.;Rare;Cabernet;Peppercorn;Vegetable
STE3;Skirt Steak;This thin, quick-cooking cut is every steak lover's dream.;Rare;Cabernet;Peppercorn;Potato
STE4;Skirt Steak;This thin, quick-cooking cut is every steak lover's dream.;Rare;Cabernet;Peppercorn;None
STE5;Top Round Steak;The tender parts out of the tougher section.;Rare;Cabernet;Mushroom;Fries
STE6;Top Round Steak;The tender parts out of the tougher section.;Rare;Cabernet;Mushroom;Vegetable
STE7;Top Round Steak;The tender parts out of the tougher section.;Rare;Cabernet;Mushroom;Potato
STE8;Top Round Steak;The tender parts out of the tougher section.;Rare;Cabernet;Mushroom;None
STE9;Flat Iron Steak;Tender, well-marbled and flavourful cut. Perfect for grilling with a glass of full-bodied red.;Rare;Cabernet;Soy Butter;Fries
STE10;Flat Iron Steak;Tender, well-marbled and flavourful cut. Perfect for grilling with a glass of full-bodied red.;Rare;Cabernet;Soy Butter;Vegetable
STE11;Flat Iron Steak;Tender, well-marbled and flavourful cut. Perfect for grilling with a glass of full-bodied red.;Rare;Cabernet;Soy Butter;Potato
STE12;Flat Iron Steak;Tender, well-marbled and flavourful cut. Perfect for grilling with a glass of full-bodied red.;Rare;Cabernet;Soy Butter;None
STE13;Paleron Steak;A tricky meat to deal with, but its result will melt in your mouth effortlessly.;Rare;Cabernet;Red Wine;Fries
STE14;Paleron Steak;A tricky meat to deal with, but its result will melt in your mouth effortlessly.;Rare;Cabernet;Red Wine;Vegetable
STE15;Paleron Steak;A tricky meat to deal with, but its result will melt in your mouth effortlessly.;Rare;Cabernet;Red Wine;Potato
STE16;Paleron Steak;A tricky meat to deal with, but its result will melt in your mouth effortlessly.;Rare;Cabernet;Red Wine;None
STE17;Sirloin Steak;A great lean, tender, flavourful, and juicy all-rounder steak;Rare;Syrah;Peppercorn;Fries
STE18;Sirloin Steak;A great lean, tender, flavourful, and juicy all-rounder steak;Rare;Syrah;Peppercorn;Vegetable
STE19;Sirloin Steak;A great lean, tender, flavourful, and juicy all-rounder steak;Rare;Syrah;Peppercorn;Potato
STE20;Sirloin Steak;A great lean, tender, flavourful, and juicy all-rounder steak;Rare;Syrah;Peppercorn;None
STE21;Filet Mignon;The prized section, the Cremedelacreme of steak. Its lean and tender, like an anorexic supermodel.;Rare;Syrah;Mushroom;Fries
STE22;Filet Mignon;The prized section, the Cremedelacreme of steak. Its lean and tender, like an anorexic supermodel.;Rare;Syrah;Mushroom;Vegetable
STE23;Filet Mignon;The prized section, the Cremedelacreme of steak. Its lean and tender, like an anorexic supermodel.;Rare;Syrah;Mushroom;Potato
STE24;Filet Mignon;The prized section, the Cremedelacreme of steak. Its lean and tender, like an anorexic supermodel.;Rare;Syrah;Mushroom;None
STE25;Sirloin Tip Steak;Its cheap and good. A primary cooking option for your not-so-likeable parent-in-laws.;Rare;Syrah;Soy Butter;Fries
