Win_ID;Win_Result;Win_Description;Win_Flavour;Win_Dip;Win_Cooking;Win_Hated
WIN1;Black Pepper Wings;"""Hmm… peppery"" - Nicole Rosemary Page, Modern Family.";Sweet;Mayo;Pan Fry;Garlic
WIN2;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Mayo;Pan Fry;Onion
WIN3;Honey Garlic Wings;The sweetness from the honey and potency from the garlic will result in a very confusing after-meal kiss.;Sweet;Mayo;Pan Fry;Sesame
WIN4;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Mayo;Pan Fry;Pepper
WIN5;Sweet-and-sour Wings;It's like falling in love.;Sweet;Mayo;Deep Fry;Garlic
WIN6;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Mayo;Deep Fry;Onion
WIN7;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Mayo;Deep Fry;Sesame
WIN8;Sweet-and-spicy Wings;No, Korea ain't the only player in this sweet-and-spicy game.;Sweet;Mayo;Deep Fry;Pepper
WIN9;Sweet-and-spicy Baked Wings;Not as crispy but just as delicious.;Sweet;Mayo;Oven Bake;Garlic
WIN10;Honey Baked Wings;What the difference between baked and fried honey wings? You have to turn it 180 degrees for one of them.;Sweet;Mayo;Oven Bake;Onion
WIN11;Grilled Chicken Wings;And how is this sweet? Its glazed with buttery honey that's how.;Sweet;Mayo;Oven Bake;Sesame
WIN12;Sweet-and-sour Baked Wings;It's like falling in love… just with buns in the oven that’s all.;Sweet;Mayo;Oven Bake;Pepper
WIN13;Air Fryer Honey Soy Wings;One evidence of globalization.;Sweet;Mayo;Air Fry;Garlic
WIN14;Air Fryer Honey Garlic Wings;You can get the full taste of honey garlic wings without it being so oily.;Sweet;Mayo;Air Fry;Onion
WIN15;Air Fryer Honey Glazed Wings;No, that glaze you witness is not oil.;Sweet;Mayo;Air Fry;Sesame
WIN16;Air Fryer Sweet-and-spicy Wings;Sweet, spicy, and maybe healtier?;Sweet;Mayo;Air Fry;Pepper
WIN17;Black Pepper Chicken Wings;"""Hmm… peppery"" - Nicole Rosemary Page, Modern Family.";Sweet;Mustard;Pan Fry;Garlic
WIN18;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Mustard;Pan Fry;Onion
WIN19;Honey Garlic Chicken Wings;The sweetness from the honey and potency from the garlic will result in a very confusing after-meal kiss.;Sweet;Mustard;Pan Fry;Sesame
WIN20;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Mustard;Pan Fry;Pepper
WIN21;Sweet-and-sour Wings;It's like falling in love.;Sweet;Mustard;Deep Fry;Garlic
WIN22;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Mustard;Deep Fry;Onion
WIN23;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Mustard;Deep Fry;Sesame
WIN24;Sweet-and-spicy Wings;No, Korea ain't the only player in this sweet-and-spicy game.;Sweet;Mustard;Deep Fry;Pepper
WIN25;Sweet-and-spicy Baked Wings;Not as crispy but just as delicious.;Sweet;Mustard;Oven Bake;Garlic
WIN26;Honey Baked Wings;What the difference between baked and fried honey wings? You have to turn it 180 degrees for one of them.;Sweet;Mustard;Oven Bake;Onion
WIN27;Grilled Chicken Wings;And how is this sweet? Its glazed with buttery honey that's how.;Sweet;Mustard;Oven Bake;Sesame
WIN28;Sweet-and-sour Baked Wings;It's like falling in love… just with buns in the oven that’s all.;Sweet;Mustard;Oven Bake;Pepper
WIN29;Air Fryer Honey Soy Wings;One evidence of globalization.;Sweet;Mustard;Air Fry;Garlic
WIN30;Air Fryer Honey Garlic Wings;You can get the full taste of honey garlic wings without it being so oily.;Sweet;Mustard;Air Fry;Onion
WIN31;Air Fryer Honey Glazed Wings;No, that glaze you witness is not oil.;Sweet;Mustard;Air Fry;Sesame
WIN32;Air Fryer Sweet-and-spicy Wings;Sweet, spicy, and maybe healtier?;Sweet;Mustard;Air Fry;Pepper
WIN33;Black Pepper Chicken Wings;"""Hmm… peppery"" - Nicole Rosemary Page, Modern Family.";Sweet;Chilli;Pan Fry;Garlic
WIN34;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Chilli;Pan Fry;Onion
WIN35;Honey Garlic Chicken Wings;The sweetness from the honey and potency from the garlic will result in a very confusing after-meal kiss.;Sweet;Chilli;Pan Fry;Sesame
WIN36;Pan Fried Honey Wings;Aww… you're sweet.;Sweet;Chilli;Pan Fry;Pepper
WIN37;Sweet-and-sour Wings;It's like falling in love.;Sweet;Chilli;Deep Fry;Garlic
WIN38;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Chilli;Deep Fry;Onion
WIN39;Crispy Honey Garlic Wings;It's crispy. It's buttery. It's sweet. It's garlicky. What's not to like?;Sweet;Chilli;Deep Fry;Sesame
WIN40;Sweet-and-spicy Wings;No, Korea ain't the only player in this sweet-and-spicy game.;Sweet;Chilli;Deep Fry;Pepper
WIN41;Sweet-and-spicy Baked Wings;Not as crispy but just as delicious.;Sweet;Chilli;Oven Bake;Garlic
WIN42;Honey Baked Wings;What the difference between baked and fried honey wings? You have to turn it 180 degrees for one of them.;Sweet;Chilli;Oven Bake;Onion
WIN43;Grilled Chicken Wings;And how is this sweet? Its glazed with buttery honey that's how.;Sweet;Chilli;Oven Bake;Sesame
WIN44;Sweet-and-sour Baked Wings;It's like falling in love… just with buns in the oven that’s all.;Sweet;Chilli;Oven Bake;Pepper
WIN45;Air Fryer Honey Soy Wings;One evidence of globalization.;Sweet;Chilli;Air Fry;Garlic
WIN46;Air Fryer Honey Garlic Wings;You can get the full taste of honey garlic wings without it being so oily.;Sweet;Chilli;Air Fry;Onion
WIN47;Air Fryer Honey Glazed Wings;No, that glaze you witness is not oil.;Sweet;Chilli;Air Fry;Sesame
